date,wz11cd,population_all_usual_residents,area_hectares,density_ppl_per_ha
2011,E33001942,417,34.96,11.9
2011,E33001943,712,189.97,3.7
2011,E33001944,542,529.5,1
2011,E33001945,335,83.81,4
2011,E33001946,271,442.36,0.6
2011,E33001947,366,38.68,9.5
2011,E33001948,258,119.32,2.2
2011,E33001949,413,407.73,1
2011,E33001950,407,216.52,1.9
2011,E33001951,295,57.23,5.2
2011,E33001952,421,123.7,3.4
2011,E33001953,257,24.8,10.4
2011,E33000564,687,492.21,1.4
2011,E33001954,267,87.52,3.1
2011,E33001955,239,29.95,8
2011,E33001956,236,21.57,10.9
2011,E33000547,565,12.89,43.8
2011,E33000548,854,30.5,28
2011,E33000549,296,8.52,34.7
2011,E33000550,299,22.03,13.6
2011,E33000551,538,130.42,4.1
2011,E33000552,287,4.63,62
2011,E33000553,409,137.3,3
2011,E33000554,271,80.47,3.4
2011,E33000555,532,29.79,17.9
2011,E33000556,320,13.75,23.3
2011,E33000557,540,15.8,34.2
2011,E33000558,235,21.99,10.7
2011,E33000559,284,23.76,12
2011,E33000560,351,18.32,19.2
2011,E33000561,312,17.73,17.6
2011,E33000562,1144,29.59,38.7
2011,E33000565,257,2.31,111.3
2011,E33000566,771,5.34,144.4
2011,E33000567,235,5.18,45.4
2011,E33001957,339,64.04,5.3
2011,E33001958,581,50.69,11.5
2011,E33001959,250,150.02,1.7
2011,E33001960,430,113.79,3.8
2011,E33001961,228,2770.8,0.1
2011,E33001962,312,2619.64,0.1
2011,E33001963,256,2333.41,0.1
2011,E33001964,254,3323.11,0.1
2011,E33001965,362,2152.1,0.2
2011,E33001966,378,1221.69,0.3
2011,E33001967,351,999.5,0.4
2011,E33001968,398,710.92,0.6
2011,E33001969,424,777.35,0.5
2011,E33001970,354,2055.52,0.2
2011,E33001971,244,6114.52,0
2011,E33001972,378,237.79,1.6
2011,E33001973,282,9902.23,0
2011,E33001974,301,8626.41,0
2011,E33001975,256,6297.74,0
2011,E33001976,338,22251.05,0
2011,E33001977,324,10300.91,0
2011,E33000570,512,5.88,87.1
2011,E33000571,1526,266.92,5.7
2011,E33000572,281,12.47,22.5
2011,E33001978,613,407.89,1.5
2011,E33001979,371,102.17,3.6
2011,E33001980,593,27.13,21.9
2011,E33001981,265,35.32,7.5
2011,E33001982,366,26.64,13.7
2011,E33001983,452,28.85,15.7
2011,E33001984,528,179.97,2.9
2011,E33001985,359,8632.85,0
2011,E33001986,563,49.67,11.3
2011,E33001987,286,16566.23,0
2011,E33001988,301,150.22,2
2011,E33001989,250,3554.34,0.1
2011,E33001990,306,101.49,3
2011,E33001991,372,10357.01,0
2011,E33001992,567,421.01,1.3
2011,E33001993,378,707.73,0.5
2011,E33001994,253,1225.66,0.2
2011,E33001995,366,156.02,2.3
2011,E33000580,378,0.54,700
2011,E33000581,605,5.66,106.9
2011,E33001996,348,25.71,13.5
2011,E33001997,268,1104.38,0.2
2011,E33001998,523,122.43,4.3
2011,E33001999,307,992.31,0.3
2011,E33002000,347,33.13,10.5
2011,E33002001,520,677.75,0.8
2011,E33002002,405,116.38,3.5
2011,E33002003,379,764.24,0.5
2011,E33002004,471,591.41,0.8
2011,E33000573,268,4.63,57.9
2011,E33000574,446,1.73,257.8
2011,E33000575,417,6.8,61.3
2011,E33000576,248,4.17,59.5
2011,E33000577,716,1.94,369.1
2011,E33000578,325,19.5,16.7
2011,E33000579,250,28.92,8.6
2011,E33000582,290,47,6.2
2011,E33000583,777,26.69,29.1
2011,E33002005,702,104.48,6.7
2011,E33002006,368,340.51,1.1
2011,E33002007,699,11.21,62.4
2011,E33002008,241,250.16,1
2011,E33002009,566,194.49,2.9
2011,E33002010,311,9.92,31.4
2011,E33002011,1209,31.89,37.9
2011,E33002012,413,111.14,3.7
2011,E33002013,317,31.79,10
2011,E33002014,582,61.37,9.5
2011,E33000584,370,45.82,8.1
2011,E33002015,432,717.33,0.6
2011,E33002016,605,113.85,5.3
